probe: using server at http://127.0.0.1:8766 (spawned)
PASS  announce: the destination line names the place, range, bearing, and the approach — High Country Ranch · 10 m west · via the yard
    [hunt 2] player=(-397.4, 304.6) wedged=0 timedOut=0 prompt=""
    [hunt 3] player=(-400.6, 302.8) wedged=0 timedOut=0 prompt=""
    [hunt 4] player=(-402.1, 302.4) wedged=0 timedOut=0 prompt=""
    [hunt 5] player=(-404.1, 300.0) wedged=0 timedOut=0 prompt=""
PASS  leg1: Harlan is addressable from the announced place — E — Talk to Harlan Calder — after 6 stop(s)
PASS  leg1: E opens the conversation — {"dialogue":"","speaker":"Harlan Calder"}
PASS  leg1: talking to the family starts the loop — stage=1 objective=Ride the ridge trail north to the Ranch Overlook
PASS  mount: the hint's E mounts the horse — mounted=true
    [ride] Ranch overlook (route): 758 m to go at (-390, 313)
    [ride] Ranch overlook (route): 763 m to go at (-392, 317)
    [ride] Ranch overlook (route): 759 m to go at (-405, 310)
    [ride] Ranch overlook (route): 780 m to go at (-397, 334)
    [ride] Ranch overlook (route): 799 m to go at (-412, 350)
    [ride] Ranch overlook (route): 775 m to go at (-391, 331)
    [ride] Ranch overlook (route): 792 m to go at (-410, 342)
    [ride] Ranch overlook (route): 762 m to go at (-390, 318)
    [ride] Ranch overlook (route): 758 m to go at (-397, 311)
    [ride] Ranch overlook (route): 755 m to go at (-413, 302)
    [ride] Ranch overlook (route): 768 m to go at (-409, 317)
    [ride] Ranch overlook (route): 758 m to go at (-396, 311)
    [ride] Ranch overlook (route): 752 m to go at (-414, 298)
    [ride] Ranch overlook (route): 749 m to go at (-418, 294)
    [ride] Ranch overlook (route): 720 m to go at (-417, 264)
    [ride] Ranch overlook (route): 737 m to go at (-405, 285)
    [ride] Ranch overlook (route): 718 m to go at (-421, 260)
    [ride] Ranch overlook (route): 697 m to go at (-417, 239)
    [ride] Ranch overlook (route): 704 m to go at (-402, 252)
    [ride] Ranch overlook (route): 698 m to go at (-422, 238)
    [ride] Ranch overlook (route): 709 m to go at (-424, 249)
    [ride] Ranch overlook (route): 741 m to go at (-440, 277)
    [ride] Ranch overlook (route): 746 m to go at (-414, 293)
    [ride] Ranch overlook (route): 711 m to go at (-425, 251)
    [ride] Ranch overlook (route): 727 m to go at (-422, 270)
    [ride] Ranch overlook (route): 732 m to go at (-422, 274)
    [ride] Ranch overlook (route): 700 m to go at (-403, 248)
    [ride] Ranch overlook (route): 732 m to go at (-423, 275)
    [ride] Ranch overlook (route): 700 m to go at (-403, 248)
    [ride] Ranch overlook (route): 695 m to go at (-409, 240)
    [ride] Ranch overlook (route): 675 m to go at (-418, 215)
    [ride] Ranch overlook (route): 698 m to go at (-421, 239)
    [ride] Ranch overlook (route): 674 m to go at (-411, 216)
    [ride] Ranch overlook (route): 658 m to go at (-418, 196)
    [ride] Ranch overlook (route): 639 m to go at (-425, 173)
    [ride] Ranch overlook (route): 621 m to go at (-430, 150)
    [ride] Ranch overlook (route): 658 m to go at (-433, 189)
    [ride] Ranch overlook (route): 640 m to go at (-423, 175)
    [ride] Ranch overlook (route): 621 m to go at (-427, 151)
    [ride] Ranch overlook (route): 604 m to go at (-433, 130)
    [ride] Ranch overlook (route): 641 m to go at (-436, 170)
    [ride] Ranch overlook (route): 622 m to go at (-428, 152)
    [ride] Ranch overlook (route): 604 m to go at (-432, 130)
    [ride] Ranch overlook (route): 588 m to go at (-437, 109)
    [ride] Ranch overlook (route): 571 m to go at (-442, 87)
    [ride] Ranch overlook (route): 553 m to go at (-447, 64)
    [ride] Ranch overlook (route): 537 m to go at (-452, 42)
    [ride] Ranch overlook (route): 558 m to go at (-437, 75)
    [ride] Ranch overlook (route): 556 m to go at (-458, 61)
    [ride] Ranch overlook (route): 574 m to go at (-451, 86)
    [ride] Ranch overlook (route): 578 m to go at (-430, 102)
    [ride] Ranch overlook (route): 606 m to go at (-443, 127)
    [ride] Ranch overlook (route): 582 m to go at (-432, 105)
    [ride] Ranch overlook (route): 602 m to go at (-447, 121)
    [ride] Ranch overlook (route): 576 m to go at (-429, 100)
    [ride] Ranch overlook (route): 599 m to go at (-446, 117)
    [ride] Ranch overlook (route): 576 m to go at (-430, 100)
    [ride] Ranch overlook (route): 566 m to go at (-439, 83)
    [ride] Ranch overlook (route): 591 m to go at (-448, 107)
    [ride] Ranch overlook (route): 562 m to go at (-435, 81)
    [ride] Ranch overlook (route): 586 m to go at (-451, 100)
    [ride] Ranch overlook (route): 559 m to go at (-434, 78)
    [ride] Ranch overlook (route): 550 m to go at (-442, 62)
    [ride] Ranch overlook (route): 537 m to go at (-451, 42)
    [ride] Ranch overlook (route): 521 m to go at (-457, 19)
    [ride] Ranch overlook (route): 506 m to go at (-461, -2)
    [ride] Ranch overlook (route): 491 m to go at (-465, -23)
